,Announcement_Date,PURPOSE,REMARKS
222,22-01-2018,Others,Infosys  Partners  with  A.S.  Watson  Group  for  Technology  and  Digi...
223,19-01-2018,Others,Gartner  Positions  Infosys as a Leader in Magic Quadrant  for  Applicat...
224,16-01-2018,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
225,10-01-2018,Others,Infosys Prize for Six Top Researchers in Science and Humanities
226,09-01-2018,Others,Infosys Announces the Signing of an Advance Pricing Agreement ('APA')  w...
227,05-01-2018,Others,Proximus  Partners  with Infosys to Simplify and  Digitize  its  Enterpr...
228,04-01-2018,Others,Please  find enclosed the notice of Postal Ballot seeking approval  of  ...
229,29-12-2017,Others,"With  reference to the announcement made by Infosys dated July 21, 2015 ..."
230,26-12-2017,Others,Post Buyback Public Announcement
231,21-12-2017,Others,Skava joins HPE-driven Cloud28+ to offer new hybrid cloud retail solutions
232,04-12-2017,Others,Infosys appoints Salil S. Parekh as CEO and Managing Director
233,29-11-2017,Others,Press  release on Infosys Finacle Launches Blockchain Based Trade  Finan...
234,27-11-2017,Others,Infosys  Ltd has informed BSE regarding a Press Release dated November  ...
235,20-11-2017,Others,Kotak  Mahindra  Capital  Company  Limited & J.P.  Morgan  India  Pvt.  ...
236,17-11-2017,Others,"Letter of offer, tender forms and schedule of activities for buyback"
237,07-11-2017,Others,Please find enclosed the press release titled 'Infosys and the Adecco Gr...
238,24-10-2017,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
239,11-10-2017,Others,Infosys  Ltd  has informed BSE regarding the details of Voting  results ...
240,10-10-2017,Others,"In continuation to our letter dated September 1, 2017 titled 'Postal Bal..."
241,06-10-2017,Others,As attached
242,05-10-2017,Others,KONE Selects Infosys to support its IT Transformation
243,03-10-2017,Others,As attached
244,21-09-2017,Others,As attached
245,11-09-2017,Others,Postal ballot updates
246,05-09-2017,Others,Infosys  Ltd has informed BSE that a meeting of the Board of  Directors ...
247,30-08-2017,Others,The Exchange has sought clarification from Infosys Ltd with respect to n...
248,28-08-2017,Others,As enclosed
249,24-08-2017,Others,Attached
250,21-08-2017,Others,The Board in its meeting held today transacted the enclosed matters.
251,18-08-2017,Others,Infosys  Ltd  has informed BSE that the Board of Directors of  the  Comp...
252,17-08-2017,Others,ATP  AND  INFOSYS  LAUNCH  NEW  PLAYERZONE  BRINGING  AN  ENHANCED  DIGI...
253,27-07-2017,Others,Please  find  enclosed press release titled - Infosys Wins  Three  Catal...
254,24-07-2017,Others,Please  find enclosed the Press Release titled - 'Infosys Finacle  named...
255,14-07-2017,Others,Infosys  Ltd has informed BSE about Outcome of Board Meeting held  on  J...
256,11-07-2017,Others,Please  find  attached  the press release titled- EdgeVerve  to  Offer  ...
257,07-07-2017,Others,"In  continuation  to  our letter dated July 6, 2017 with  regard  to  Bo..."
258,04-07-2017,Others,Please  find enclosed the Press Release titled - 'Active AI  Joins  Info...
259,27-06-2017,Others,36th Annual General Meeting (`AGM') and voting results.
260,23-06-2017,Others,Vesting and Exercise of Restricted Stock Units (RSUs)
261,14-06-2017,Others,Please  find enclosed the press release titled 'Infosys Annual Report  2...
262,09-06-2017,Others,"Please  find  attached,  the Company's statement. This will  also  be  m..."
263,08-06-2017,Others,"Please find attached, the Company Statement. This is also made available..."
264,03-05-2017,Others,The  press  release titled 'The Commercial Bank  Successfully  Completes...
265,02-05-2017,Others,The  press release titled 'Infosys Foundation USA Commits Funding to  Tr...
266,25-04-2017,Others,The  press  release titled 'Infosys Expands Footprint in Eastern  Europe...
267,13-04-2017,Others,"In  continuation  to  our letter today on the above  subject,  please  f..."
268,30-03-2017,Others,Press  release  titled  'Infosys  Achieves Cloud  Elite  Status  in  Ora...
269,17-03-2017,Others,"In  continuation  to our letter dated March 14, 2017 with regard  to  Bo..."
270,16-03-2017,Others,Press Release
271,14-03-2017,Others,Meeting  of  the  Board of Directors of the Company will  be  held  at  ...
272,08-03-2017,Others,Please find enclosed the press release titled 'Infosys Public Services  ...
273,02-03-2017,Others,"In continuation to our letter dated February 23, 2017 regarding the  Pos..."
274,23-02-2017,Others,Infosys  Ltd  has  informed  BSE about Outcome of  Board  Meeting  held ...
275,20-01-2017,Others,Infosys  Ltd has submitted to BSE the Shareholding Pattern for  the  Per...
276,17-01-2017,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
277,16-01-2017,Others,Infosys Ltd has informed BSE about Outcome of Board Meeting held on Janu...
278,02-01-2017,Others,Infosys  Ltd  has submitted to BSE a copy of Disclosure  document  to  t...
279,12-12-2016,Others,"Anupu, an Archeological Wonder in Andhra PradeshInfosys  Ltd has informe..."
280,23-11-2016,Others,The  Exchange  has received the disclosure under Regulation 29(2)  of  S...
281,17-11-2016,Others,Infosys Ltd has informed BSE regarding Newspaper advertisement for trans...
282,09-11-2016,Others,Infosys  Ltd  has submitted to BSE a copy of Revised  Press  Release  da...
283,17-08-2016,Others,Infosys  Ltd has informed BSE regarding a Media Statement dated August  ...
284,18-04-2016,Others,Infosys  Ltd  has informed BSE regarding Quarterly  Statement  on  Inves...
285,08-04-2016,Others,Aberdeen Asset Management Asia Ltd has submitted the disclosures under R...
286,05-04-2016,Others,"Infosys Ltd has informed BSE regarding a Press Release dated April 05, 2..."
287,04-04-2016,Others,Infosys  Ltd  has informed BSE regarding the details of Voting  results ...
288,29-03-2016,Others,Infosys  Ltd has informed BSE that a meeting of the Board of  Directors ...
289,22-03-2016,Others,"Infosys Ltd vide its letter dated March 21, 2016 has informed BSE regard..."
290,15-03-2016,Others,Infosys  Ltd  has informed BSE that the Company will  close  the  quarte...
291,10-03-2016,Others,Shruti  Shibulal  has submitted the disclosures under Reg.  29(2)  of  S...
292,08-03-2016,Others,"With reference to the earlier letter dated February 24, 2016 with regard..."
293,25-02-2016,Others,Infosys Ltd has informed BSE about Notice of Postal Ballot.
294,24-02-2016,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
295,28-01-2016,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
296,27-01-2016,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
297,20-01-2016,Others,Infosys  Ltd  has informed BSE regarding Quarterly  Statement  on  Inves...
298,14-01-2016,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
299,06-01-2016,Others,Infosys  Ltd has informed BSE regarding a Press Release dated  January  ...
300,28-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
301,15-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
302,14-12-2015,Others,Infosys Ltd has informed BSE regarding Infosys Invests in Whoop.
303,10-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
304,09-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
305,08-12-2015,Others,"Infosys Ltd has informed BSE that Dr. Vishal Sikka, CEO & Managing Direc..."
306,07-12-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated December  ...
307,01-12-2015,Others,Infosys Ltd has informed BSE that pursuant to SEBI (Listing Obligations ...
308,24-11-2015,Others,Infosys  Ltd has submitted the disclosures under Reg. 29(2) of SEBI  (SA...
309,23-11-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated November  ...
310,20-11-2015,Others,Infosys  Ltd has submitted the disclosures under Reg. 29(2) of SEBI  (SA...
311,19-11-2015,Others,Infosys Ltd has submitted to BSE a copy of the Statement dated November ...
312,16-11-2015,Others,Infosys  Ltd has informed BSE regarding a Press Release dated November  ...
313,19-10-2015,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
314,16-10-2015,Others,Infosys Ltd has submitted to BSE a copy of Press Release dated October  ...
315,12-10-2015,Others,Infosys  Ltd has informed BSE regarding Revised USD and INR  press  rele...
316,21-09-2015,Others,Infosys Ltd has informed BSE regarding a Press Release dated September  ...
317,18-09-2015,Others,Infosys Ltd has informed BSE regarding a Press Release dated September  ...
318,16-09-2015,Others,Infosys Ltd has informed BSE regarding a Press Release dated September  ...
319,15-09-2015,Others,Infosys  Ltd has informed BSE that a meeting of the Board of  Directors ...
320,10-09-2015,Others,Infosys Ltd has informed BSE that U.S. Department of Labor (DOL)  conclu...
321,08-09-2015,Others,MatrixT for Independent Testing ServicesInfosys Ltd has informed BSE reg...
322,02-09-2015,Others,Infosys Ltd has informed BSE regarding a Press Release dated September  ...
323,26-08-2015,Others,"With  reference to the earlier letter dated August 22, 2014, titled  Gra..."
324,20-08-2015,Others,Infosys  Ltd  has  informed BSE that a live  webcast  from  Infosys  Glo...
325,19-08-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release dated  August  ...
326,18-08-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release dated  August  ...
327,14-08-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release dated  August  ...
328,07-08-2015,Others,"SAP Implementation Services Worldwide, 2015Infosys  Ltd  has informed BS..."
329,21-07-2015,Others,"Infosys Ltd has informed BSE regarding Fact Sheet, IFRS  INR Press  Rele..."
330,09-07-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated July 09,  2..."
331,08-07-2015,Others,Services Blueprint Report 2015Infosys Ltd has informed BSE regarding a P...
332,03-07-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated July 03,  2..."
333,29-06-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated June 29,  2..."
334,25-06-2015,Others,Infosys  Ltd has informed BSE that a meeting of the Board of  Directors ...
335,23-06-2015,Others,Infosys  Ltd  has  informed BSE that based on  the  recommendation  of  ...
336,22-06-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated June 21,  2..."
337,19-06-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated June 19,  2..."
338,18-06-2015,Others,Infosys  Ltd  has  informed  BSE  that  the  Board  of  Directors  allot...
339,12-06-2015,Others,The  Exchange  has sought clarification from Infosys Ltd  with  respect ...
340,05-06-2015,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
341,04-06-2015,Others,Infosys  Ltd  has informed BSE regarding the details of Voting  results ...
342,29-05-2015,Others,Critical Capabilities for International Retail CoreBanking' Report Infos...
343,25-05-2015,Others,Infosys  Ltd has informed BSE that the 34th Annual General  Meeting   (A...
344,21-05-2015,Others,Infosys  Ltd  has  submitted  to BSE a copy of  Form  20F  filed  with  ...
345,18-05-2015,Others,Infosys Ltd has informed BSE that Pursuant to Securities and Exchange Bo...
346,14-05-2015,Others,"Infosys Ltd has informed BSE regarding a Press Release dated May 14,  20..."
347,30-04-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release  dated  April  ...
348,29-04-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release  dated  April  ...
349,28-04-2015,Others,Infosys Ltd has informed BSE that the Board of Directors of the Company ...
350,24-04-2015,Others,Infosys  Ltd  has informed BSE regarding a Press Release  dated  April  ...
