,Announcement_Date,PURPOSE,REMARKS
178,28-12-2018,Others,Tata Consultancy Services Ltd has informed BSE regarding Loss of Share C...
179,25-12-2018,Others,Tata Consultancy Services Ltd has informed BSE regarding Loss of Share C...
180,20-12-2018,Others,TCS BaNCS Transforms Payments Operations at MUFG - Japan's Largest Bank
181,19-12-2018,Others,Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosur...
182,18-12-2018,Others,TCS Collaborates with Red Hat to Build Next-Gen Solutions that Accelerat...
183,14-12-2018,Others,Issue of Duplicate Share Certificate pursuant to Regulation 39(3) of SEB...
184,13-12-2018,Others,New Version of Connected Clinical Trials Platform Launched at TCS ADD Va...
185,12-12-2018,Others,TCS Recognized as a Leader in Gartner Magic Quadrant for Application Tes...
186,11-12-2018,Others,TCS and Singapore Airlines Launch New Solution for the Airline Industry ...
187,04-12-2018,Others,TCS Launches Intelligent Power Plant Solution to Digitally Transform Uti...
188,30-11-2018,Others,Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Re...
189,29-11-2018,Others,TCS and Phoenix Group Expand Longstanding Partnership
190,28-11-2018,Others,TCS Acquires BridgePoint Group
191,27-11-2018,Others,"TCS and Discovery Education Bring Computational Thinking to 5,100 Educat..."
192,20-11-2018,Others,TCS a Leader in IDC MarketScape for Global DevOps Services
193,19-11-2018,Others,TCS Teams up with SAP to Build the Intelligent Rail Digital Maintenance ...
194,16-11-2018,Others,TCS Wins Company of the Year Award for Achievements in Canada
195,15-11-2018,Others,TCS Wins Hr NETWORK Scotland National Award 2018 for its IT Futures Prog...
196,12-11-2018,Others,TCS Partners with ENGIE Laborelec to Protect Critical Infrastructures ag...
197,05-11-2018,Others,TCS Commits Pro Bono Technology Services to Support Research on Sudden U...
198,01-11-2018,Others,"TCS Acquires W12 Studios, an Award-Winning, London-Based Digital Design ..."
199,29-10-2018,Others,TCS' Repeatable Carve-Out Model helps Bayer Complete Multiple Divestitur...
200,26-10-2018,Others,TCS BaNCS named a Leader in the Gartner Magic Quadrant for Global Retail...
201,24-10-2018,Others,TCS Ranked #1 for Customer Satisfaction in Survey of Leading Swiss Organ...
202,23-10-2018,Others,TCS' OptumeraTM Wins AIconics Award for Best Application of AI in the En...
203,16-10-2018,Others,TCS Wins Eleven Stevies at the 2018 Great Employers Awards
204,11-10-2018,Others,We enclose the audited financial results of the Company and audited cons...
205,10-10-2018,Others,We are sending herewith copy of the Press Release titled TCS Named Azure...
206,05-10-2018,Others,Please find enclosed the certificate under Regulation 7(3) of Securities...
207,04-10-2018,Others,New Development Bank Deploys TCS BaNCS as its Flexible Digital Backbone
208,29-09-2018,Others,Pursuant to Regulation 30(1) of the SEBI (Listing Obligations and Disclo...
209,28-09-2018,Others,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
210,27-09-2018,Others,ignioT Recognized for Leadership and Innovation in Advanced IT Analytics...
211,26-09-2018,Others,TCS Wins Frost & Sullivan's Award for 2018 Asia-Pacific BPM Solutions Pr...
212,24-09-2018,Others,TCS Named a Leader for Life Sciences R&D Strategic Consulting Services f...
213,21-09-2018,Others,TCS Recognized as a Leader in Finance and Accounting Digital Augmentatio...
214,20-09-2018,Others,The Training Room and TCS iON Partner to Launch International Training a...
215,18-09-2018,Others,Tata iQ Selects TCS JileT to Drive Agile Transformation
216,17-09-2018,Others,25 years of partnership between TCS and KLM has helped the airline becom...
217,14-09-2018,Others,TCS Named a Leader in Managed Security Services by NelsonHall
218,11-09-2018,Others,TCS Recognized As One of the Achievers 50 Most Engaged WorkplacesT in No...
