,Announcement_Date,PURPOSE,REMARKS
183,28-09-2018,Others,TATA CONSULTANCY SERVICES LTD.has informed BSE that the meeting of the B...
184,27-09-2018,Others,ignioT Recognized for Leadership and Innovation in Advanced IT Analytics...
185,26-09-2018,Others,TCS Wins Frost & Sullivan's Award for 2018 Asia-Pacific BPM Solutions Pr...
186,24-09-2018,Others,TCS Named a Leader for Life Sciences R&D Strategic Consulting Services f...
187,21-09-2018,Others,TCS Recognized as a Leader in Finance and Accounting Digital Augmentatio...
188,20-09-2018,Others,The Training Room and TCS iON Partner to Launch International Training a...
189,18-09-2018,Others,Tata iQ Selects TCS JileT to Drive Agile Transformation
190,17-09-2018,Others,25 years of partnership between TCS and KLM has helped the airline becom...
191,14-09-2018,Others,TCS Named a Leader in Managed Security Services by NelsonHall
192,11-09-2018,Others,TCS Recognized As One of the Achievers 50 Most Engaged WorkplacesT in No...
193,06-09-2018,Others,Maxim Integrated Partners with TCS on CRM Sales Transformation to Accele...
194,05-09-2018,Others,TCS Recognized as a Leader and Star Performer in Insurance IT Applicatio...
195,04-09-2018,Others,TCS Named a Leader in Cognitive IT Infrastructure Management Services by...
196,03-09-2018,Others,Amrita Vishwa Vidyapeetham Students Win TCS'' EngiNX 2018 for creating a...
197,31-08-2018,Others,Tata Consultancy Services Ltd has submitted to BSE a copy of Letter of O...
198,30-08-2018,Others,TCS Recognized as a Leader in Worldwide Manufacturing Customer Experienc...
199,27-08-2018,Others,TCS a Leader in IT Infrastructure Services Automation: Everest Group
200,20-08-2018,Others,TCS Recognized as a Leader for Fourth consecutive Time in Life Sciences ...
201,17-08-2018,Others,TCS Positioned as a Leader and Star Performer in Digital Workplace Servi...
202,14-08-2018,Others,TCS Named a Leader in KYC-Anti Money Laundering BPO Services by Everest ...
203,10-08-2018,Others,TCS to Support Participation by Indigenous Runners in Sydney's City2Surf...
204,08-08-2018,Others,ignioT - TCS'' cognitive automation product celebrates  3rd anniversary ...
205,07-08-2018,Others,"This has reference to our letter dated June 15, 2018 wherein we have inf..."
206,04-08-2018,Others,Tata Consultancy Services Limited is enclosed herewith the Postal Ballot...
207,02-08-2018,Others,TCS Named a Leader in Life Sciences Digital Services in North America by...
208,01-08-2018,Others,TCS Launches JileT to Help Digital Enterprises Embrace Agile Delivery at...
209,30-07-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of SEBI (...
210,19-07-2018,Others,TCS Positioned as a Leader in Life Sciences R&D BPO Services in IDC Mark...
211,18-07-2018,Others,"TCS Recognized as a Leader in Cloud Advisory, Assessment and Migration S..."
212,17-07-2018,Others,Total Creates a Digital Innovation Center in India in Partnership with T...
213,16-07-2018,Others,TCS wins The Best Innovation Centre by a Non-Financial Services Institut...
214,12-07-2018,Others,Impact of Business 4.0 recognised as TCS' #DigitalDirections campaign la...
215,11-07-2018,Others,Tata Consultancy Services Ltd has informed BSE that the Company has fixe...
216,06-07-2018,Others,Pursuant to Regulation 30 read with Schedule III Part A Para A of the SE...
217,04-07-2018,Others,TCS Recognized as a Leader in Enterprise QA Services by Everest Group PE...
218,29-06-2018,Others,Pursuant to Regulation 29(1) of SEBI (Listing Obligations and Disclosure...
219,21-06-2018,Others,Pursuant to the requirement under the Regulation 30(5) of the SEBI (List...
220,19-06-2018,Others,TCS Wins 'Social Responsibility Award' Three Years in a Row
