,Announcement_Date,PURPOSE,REMARKS
134,23-03-2015,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that Dr.  (Mr...
135,04-02-2015,Others,Bombay  Dyeing & Manufacturing Company Ltd has submitted to BSE a  copy ...
136,07-10-2014,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that Ms.  Vin...
137,05-09-2014,Others,Bombay  Dyeing & Manufacturing Company Ltd has submitted to BSE a  copy ...
138,25-08-2014,Others,With  reference to earlier announcement regarding Shareholding Pattern  ...
139,11-08-2014,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE  regarding  ...
140,15-07-2014,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that the  13...
141,04-07-2014,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that in terms...
142,17-02-2014,Others,Bombay  Dyeing  &  Manufacturing  Company Ltd has  informed  BSE  that  ...
143,29-11-2013,Others,"With reference to Increase in Volume, Bombay Dyeing & Manufacturing Comp..."
144,21-11-2013,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that the  Bom...
145,20-11-2013,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE vide its  let...
146,07-10-2013,Others,With  reference  to the news item appearing in a  leading  financial  da...
147,23-09-2013,Others,Bombay  Dyeing & Manufacturing Company Ltd has submitted to BSE a  copy ...
148,14-08-2013,Others,"Jehangir Nusli Wadia has submitted the disclosures under Reg.13(4),  13(..."
149,22-07-2013,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that the  13...
150,28-05-2013,Others,Bombay  Dyeing  &  Manufacturing Company Ltd  has  informed  BSE  regard...
151,19-10-2012,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that the memb...
152,03-10-2012,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that the  13...
153,11-09-2012,Others,Bombay Dyeing & Manufacturing Company Ltd has informed BSE that the memb...
154,13-08-2012,Others,Bombay  Dyeing & Manufacturing Company Ltd has submitted to BSE a  copy ...
155,07-08-2012,Others,Bombay   Dyeing  &  Manufacturing  Company  Ltd  has  informed   BSE   t...
156,24-07-2012,Others,Bombay  Dyeing & Manufacturing Company Ltd has informed BSE that the  13...
