,Announcement_Date,PURPOSE,REMARKS
146,28-11-2018,Others,Transfer of operations of Share Transfer Agent from Karvy Computershare ...
147,26-11-2018,Others,"The Company has allotted 208,250 equity shares under the 2015 Stock Ince..."
148,22-11-2018,Others,Press release titled 'RCB Digital Wallet to be powered by EdgeVerve Syst...
149,21-11-2018,Others,Please find enclosed the press release titled Infosys Announces Creation...
150,19-11-2018,Others,Press release on Investor meetings
151,16-11-2018,Others,Please find enclosed the press release titled 'Infosys Breaks Ground on ...
152,15-11-2018,Others,Infosys Limited has informed the Exchange regarding a press release date...
153,13-11-2018,Others,Press Release titled 'Infosys to Open Technology and Innovation Hub in T...
154,07-11-2018,Others,Platform-based Companies to Lead Banking Innovation by 2022.
155,05-11-2018,Others,Investor meetings
156,26-10-2018,Others,'Infosys Wins Six Excellence Awards at Oracle OpenWorld 2018.'
157,24-10-2018,Others,Infosys Unveils Enterprise Class Open Source DevOps Platform
158,16-10-2018,Others,"Infosys Ltd has informed BSE that the Company has fixed October 27, 2018..."
159,13-10-2018,Others,"Press release titled - 'Infosys Completes Acquisition of Fluido, the Lar..."
160,10-10-2018,Others,Regulation 7(3)of SEBI LODR
161,06-10-2018,Others,Certificate in terms of regulation 40 of SEBI (Listing Obligations and D...
162,03-10-2018,Others,Infosys Assigned A3 Rating with Stable Outlook by Moody''s Investor Service
163,24-09-2018,Others,Public Services and Procurement Canada Selects Infosys Public Services t...
164,21-09-2018,Others,Press Release titled Infosys Partners with Google Cloud to Develop Data ...
165,18-09-2018,Others,Disclosure
166,17-09-2018,Others,'Infosys Makes Additional Investment of US$1.5 million in TidalScale Inc.'
167,14-09-2018,Others,INFOSYS LTD.has informed BSE that the meeting of the Board of Directors ...
168,10-09-2018,Others,Australian Open and Infosys announce strategic technology partnership
169,07-09-2018,Others,Infosys and Temasek Announce Joint Venture in Singapore.
170,26-08-2018,Others,Infosys Ltd has informed BSE regarding the details of Voting results of ...
171,24-08-2018,Others,"In continuation of our letter dated August 24, 2018 on the captioned sub..."
172,23-08-2018,Others,Infosys Science Foundation Partners with New York Academy of Sciences to...
173,20-08-2018,Others,Investor Conference
174,18-08-2018,Others,Outcome of the Board meeting - Infosys Limited
175,17-08-2018,Others,Newspaper advertisement for transfer of unclaimed dividend and correspon...
176,13-08-2018,Others,Infosys Press release: Infosys to Open Software Development Centre in We...
177,10-08-2018,Others,The Exchange has received the disclosure under Regulation 29(2) of SEBI ...
178,08-08-2018,Others,Press releases:  1. Australian and New Zealand Enterprises Lagging Behin...
